Date,Close,Volume
02/01/2008,10880,18047200
03/01/2008,10920,19346500
04/01/2008,10780,17997350
07/01/2008,10380,39787200
08/01/2008,10320,24783700
09/01/2008,10500,23865450
10/01/2008,10320,31551350
11/01/2008,10320,23425150
14/01/2008,10500,22167000
15/01/2008,10640,40283950
16/01/2008,10600,49448100
17/01/2008,11200,42213900
18/01/2008,11340,35586400
21/01/2008,11280,25085050
22/01/2008,10720,43213650
23/01/2008,10800,36303850
24/01/2008,11120,27902000
25/01/2008,11220,26107500
28/01/2008,10780,27213200
29/01/2008,11160,21471250
30/01/2008,11420,35769400
31/01/2008,11900,46767100
01/02/2008,11720,28352100
04/02/2008,12240,46921550
05/02/2008,12260,23207550
11/02/2008,11680,28841250
12/02/2008,11460,18513050
13/02/2008,11480,21558700
14/02/2008,11860,28837050
15/02/2008,11720,20001000
18/02/2008,11540,18412450
19/02/2008,11740,16641000
20/02/2008,11560,18171450
21/02/2008,11880,21269600
22/02/2008,11640,15574600
25/02/2008,11620,15236300
26/02/2008,11420,12393550
27/02/2008,11560,13882800
28/02/2008,11600,14536100
29/02/2008,11200,22988800
03/03/2008,10980,22136800
04/03/2008,11040,16975550
05/03/2008,11240,21097000
06/03/2008,11240,18850600
07/03/2008,11000,20272750
10/03/2008,11080,17898000
11/03/2008,11100,31354900
12/03/2008,11200,24374050
13/03/2008,11000,30835150
14/03/2008,10940,22180950
17/03/2008,11000,40741250
18/03/2008,11360,42480400
19/03/2008,11820,35035300
20/03/2008,12120,32334250
21/03/2008,12140,21574750
24/03/2008,11980,10591650
25/03/2008,12200,21415850
26/03/2008,12240,15949800
27/03/2008,12100,20926650
28/03/2008,12260,25343000
31/03/2008,12460,29338650
01/04/2008,12720,33978600
02/04/2008,13220,38936050
03/04/2008,13240,21675750
04/04/2008,13000,17505650
07/04/2008,13000,18348000
08/04/2008,12920,17081100
10/04/2008,13120,33709550
11/04/2008,13600,39799750
14/04/2008,13560,21013800
15/04/2008,13160,19635700
16/04/2008,13020,25146850
17/04/2008,13220,20221950
18/04/2008,13300,25224400
21/04/2008,13480,21483300
22/04/2008,13500,18359750
23/04/2008,13060,25400650
24/04/2008,13220,25118900
25/04/2008,13800,50257700
28/04/2008,14320,38231450
29/04/2008,14200,21729700
30/04/2008,14220,31382450
01/05/2008,14220,0
02/05/2008,14620,50417500
05/05/2008,14620,0
06/05/2008,14900,38358100
07/05/2008,14820,22328750
08/05/2008,14560,34440750
09/05/2008,14180,29085550
12/05/2008,14180,0
13/05/2008,14700,30044650
14/05/2008,14760,20052950
15/05/2008,15280,27487700
16/05/2008,15200,30207500
19/05/2008,14560,31627250
20/05/2008,14260,45623100
21/05/2008,14360,23699200
22/05/2008,14260,18129850
23/05/2008,14140,14702850
26/05/2008,13580,42225400
27/05/2008,14040,18241350
28/05/2008,13840,20754200
29/05/2008,14600,24855000
30/05/2008,14820,24669600
02/06/2008,14520,19869800
03/06/2008,14080,20968200
04/06/2008,14260,14337000
05/06/2008,14180,18126850
06/06/2008,14180,0
09/06/2008,13720,30999100
10/06/2008,13320,28005300
11/06/2008,13620,23986150
12/06/2008,13260,45085450
13/06/2008,13480,26490150
16/06/2008,13820,16767250
17/06/2008,13760,18272550
18/06/2008,14080,15103800
19/06/2008,13500,25826000
20/06/2008,13360,21409450
23/06/2008,13160,20438500
24/06/2008,13180,15685550
25/06/2008,13100,22329450
26/06/2008,13300,19907250
27/06/2008,12860,25576850
30/06/2008,12500,28598600
01/07/2008,12720,33602250
02/07/2008,12600,24414150
03/07/2008,12660,29315200
04/07/2008,12320,22481600
07/07/2008,12280,26142050
08/07/2008,11860,27884250
09/07/2008,11500,29763900
10/07/2008,11200,53374150
